id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
16945019,Lovely apartment in city centre,99725020,Brian,,Dublin City,53.35676556693536,-6.264255814690079,Entire home/apt,110,3,2,2017-02-17,2,6,52
6841000,"Double bedroom, quite house Dublin",35848156,Angela,,Dublin City,53.33709740470348,-6.273401485723272,Private room,39,1,1,2016-08-07,0.15,2,0
15885025,"Family Home, Dublin 4",103010901,Tara,,Dublin City,53.31064958006212,-6.219828646881963,Entire home/apt,400,4,0,,,1,77
424596,Very Special Oval Georgian Studio,2110301,Karin,,Dublin City,53.354563919672586,-6.258864141482106,Entire home/apt,110,2,218,2017-02-15,3.83,4,283
3051772,Dbl room in Penthouse-City center,3871062,Charlotte,,Dublin City,53.34610556681315,-6.2388400752797395,Private room,85,1,81,2016-03-28,2.42,2,48
16917989,Donnybrook Mews Cottage,1672265,Ben,,Dublin City,53.32775757081715,-6.246180459872737,Entire home/apt,250,1,0,,,1,26
13985603,Double Room in Top Quality Apartment,32265277,Joanne,,Dublin City,53.362681972314704,-6.244972310598342,Private room,55,2,0,,,1,0
15422779,B&B,98845113,Andrea,,Dublin City,53.31975888512932,-6.288100936688205,Private room,50,3,1,2016-11-12,0.30,1,361
1127289,Penthouse in Temple Bar,6183939,Malin,,Dublin City,53.34517451346849,-6.269464666506719,Entire home/apt,125,3,107,2017-01-24,2.55,2,74
11791201,Habitación en el centro Dublín,44147189,Anna & Nuria,,Dublin City,53.342696940530615,-6.280920538822598,Private room,50,1,3,2016-09-26,0.33,1,257
16812211,Clean Cozy Single Room beside Dublin City Center,95181848,Daniel,,Dublin City,53.355848864432275,-6.272157665970078,Private room,40,2,0,,,2,33
15544101,"Bolton Hall, City Centre Holiday Apartment",21473195,Ollie,,Dublin City,53.35221916971383,-6.269146768120798,Entire home/apt,120,1,0,,,26,233
14532559,Artist's Haven (full house),32672414,Sarah,,Dublin City,53.33484629074648,-6.267100480465863,Entire home/apt,208,2,5,2016-11-20,1.19,2,0
14465748,Cosy twin ensuite in Dublin 6,84422306,Ollie,,Dublin City,53.31523862935467,-6.276237364878244,Private room,50,1,0,,,3,348
9172919,Great location in the heart of Dublin Temple bar!!,43601728,Adi,,Dublin City,53.345169129137076,-6.266800486485543,Entire home/apt,135,1,108,2017-02-13,6.92,1,109
7414933,Very best city centre location!,4462611,Brian,,Dublin City,53.34038389461732,-6.272443157090893,Entire home/apt,99,3,95,2017-02-13,5.09,1,203
12904818,Beautiful Dublin 1 Bed Apartment No. 4,9874959,My Place,,Dublin City,53.35095666558199,-6.254360810294921,Entire home/apt,200,3,5,2016-07-30,0.56,10,304
13285897,Spacious and stylish two bed apt,36693033,Mark,,Dublin City,53.33931827404824,-6.236298956064075,Entire home/apt,130,3,2,2016-06-25,0.23,5,14
9367734,"Full appt, city center",9851769,Maxime,,Dublin City,53.345039499070914,-6.254236653946692,Entire home/apt,125,3,5,2016-09-25,0.32,1,0
5335821,Central home base too,10039280,Andy,,Dublin City,53.347796314129944,-6.269877779369238,Entire home/apt,165,1,63,2017-01-04,2.63,2,71
4872696,Gorgeous Apartment in City Centre ,25066435,Pawel And Christian,,Dublin City,53.34817860670847,-6.2687184156979985,Entire home/apt,130,7,0,,,1,0
8612836,Luxury Living in Temple Bar,30410423,Brendan,,Dublin City,53.346084607772696,-6.262486611790872,Entire home/apt,99,2,28,2017-02-16,5.71,1,43
16321491,"Large, Quiet 2-Bed Apartment in central Dublin",47656682,Eric,,Dublin City,53.35922177086663,-6.239660034421979,Entire home/apt,89,2,0,,,6,211
14200491,Modern apt in the heart of Dublin's Tech Hub,8756530,Ciara,,Dublin City,53.340806340801166,-6.236781231107959,Entire home/apt,130,3,22,2017-02-11,3.51,1,332
5887650,Cozy 1BD in Dublin's Liberties,5460380,Gemma,,Dublin City,53.34217733691516,-6.28056619310371,Entire home/apt,85,2,121,2017-01-31,5.58,1,15
14870373,Bright comfy studio near St Patrick Cathedral,1509649,Natalia,,Dublin City,53.33887735560444,-6.2750409234420506,Entire home/apt,98,2,26,2017-02-08,4.67,5,308
14586405,Fabulous Georgian Duplex Flat,6850883,Linn,,Dublin City,53.34002156666173,-6.253354990075485,Entire home/apt,157,2,1,2016-09-05,0.18,2,0
8991385,Quiet and warm city centre home,16253199,Jorinde,,Dublin City,53.334426777510416,-6.274218608289016,Entire home/apt,160,1,90,2017-02-12,5.95,1,218
13546167,Cosy home near O'Connell Street,15929897,Joan,,Dublin City,53.357301600208125,-6.25054970512089,Entire home/apt,105,2,21,2017-01-04,3.12,2,52
227966,Smart Georgian building city centre,1189146,Andrew,,Dublin City,53.33387457695105,-6.260154741214765,Entire home/apt,95,2,142,2017-01-30,2.17,5,298
6710681,Lovely flat near city centre,25963264,Senan & Noel & Fidelma,,Dublin City,53.330672274808755,-6.253995117421778,Entire home/apt,120,3,31,2016-11-30,1.51,3,243
13738448,City Centre Location Dublin,29087610,David,,Dublin City,53.33966433455633,-6.266263483729774,Entire home/apt,105,3,4,2017-01-03,0.65,11,76
17038030,Studio in Ballsbridge,45671791,Peter,,Dublin City,53.334510086554886,-6.238266717077156,Entire home/apt,450,1,0,,,1,85
9130624,Beautiful House on the Grand Canal,12718443,Keith,,Dublin City,53.32858239239605,-6.264440012047832,Entire home/apt,300,3,1,2016-03-22,0.09,1,0
12317410,Perfect for a Dublin city break!,17710393,Marian,,Dublin City,53.32989025195558,-6.272583702647026,Entire home/apt,55,2,6,2016-05-08,0.59,1,0
13397033,Terraced house in the heart of Dublin's Inner City,4872909,Justine,,Dublin City,53.3368320226014,-6.2794805717803905,Entire home/apt,110,2,10,2017-01-02,1.30,1,2
5332689,Donnybrook.RDS Conventions!,22283462,Gary,,Dublin City,53.32138067240971,-6.244339453661481,Entire home/apt,184,3,52,2017-01-02,2.21,3,137
16673324,"Lovely 2 bedroom City Apartment, Great Location.",110304209,Rita,,Dublin City,53.341236235728644,-6.27542161902633,Entire home/apt,120,3,3,2017-02-15,3,1,117
4697084,City Centre  - 2 Bed Apartment,24282383,Ariel,,Dublin City,53.35260600473813,-6.26287432193284,Entire home/apt,220,3,41,2016-12-28,1.64,4,65
11122611,Victorian Terraced City Home,42183407,Tracy,,Dublin City,53.33570303227686,-6.27153108226172,Entire home/apt,149,4,29,2017-02-06,2.77,1,149
2684689,"Cow's Lane Temple Bar, Homely Apt",11765563,Kate,,Dublin City,53.3440434918097,-6.269073514200692,Entire home/apt,100,2,182,2016-12-18,5.21,2,136
15742326,TEMPLEBAR | DUBLIN CITY WALL |  CITY CENTRE,18976273,Gill & Máirtín,,Dublin City,53.34461100818854,-6.26785646425891,Entire home/apt,130,2,13,2017-01-18,3.75,7,102
12022740,Luxury in Dublin`s Silicon Valley,64202703,Kjetil,,Dublin City,53.34441926619796,-6.2346819844376045,Entire home/apt,300,2,17,2017-02-16,1.69,2,0
