id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
21938453,The Burrow - Waratah for Cradle Mountain & Tarkine,160115727,Joanne,,Waratah/Wynyard,-41.446422260982516,145.53104679089355,Entire home/apt,99,1,0,,,1,91
21938630,Whisky Creek Cottage,1877256,Sarah,,Meander Valley,-41.64950831381387,146.7135447806796,Entire home/apt,71,1,5,2018-02-16,2.83,1,340
21939121,NEW: Glebe Getaway in the heart of Hobart,11924715,Jennifer,,Hobart,-42.872471022333116,147.32600250730607,Entire home/apt,99,1,1,2018-02-14,1,1,107
21939291,In the wild,53859928,So Young & James,,Southern Midlands,-42.46547070210349,147.3231704543355,Shared room,21,1,2,2018-01-04,0.73,3,358
21939570,Peaceful Coastal Village,160126740,Colin,,Kingborough,-43.23266822631363,147.25340872658077,Entire home/apt,115,1,19,2018-02-09,8.51,1,5
21940504,2 GUESTS - Twin Room 4 @ Artnor Lodge St Helens,160135076,Joanne,,Break O'Day,-41.3208656367134,148.24999612798055,Entire home/apt,79,1,20,2018-02-14,7.89,3,352
21940980,"No 2 SLEEPS 2: Artnor Lodge Guest House, St Helens",160135076,Joanne,,Break O'Day,-41.32086511806903,148.24761390289865,Private room,76,1,18,2018-01-30,6.75,3,355
21941105,ENSUITE UNIT 6: Artnor Lodge Guest House - Sleep 2,160135076,Joanne,,Break O'Day,-41.31963822160233,148.24943686631877,Entire home/apt,110,1,10,2018-02-15,5.88,3,354
21948754,"Lovely Home, Great Location",30507661,Mark & Della,,Glenorchy,-42.84321914072684,147.28497800178604,Private room,55,1,7,2018-01-21,3.13,2,351
21949201,Scenic Sandy Bay Home,160221747,Matt,,Hobart,-42.91966069952345,147.34807961983452,Entire home/apt,241,2,6,2018-02-02,2.57,1,138
21949439,"Charming, stylish inner city home in quiet spot",160224887,Pamela And Matt,,Hobart,-42.89605162611622,147.32837690313056,Entire home/apt,235,2,3,2018-02-09,3,1,137
21950723,Maydena Chillhouse BnB - Double Room w. Breakfast,684890,Matt And Cheryl,,Derwent Valley,-42.74965187918513,146.64236283679418,Private room,94,1,4,2018-01-19,1.85,4,158
21951663,Bush View Cottage,31850852,Billie,,Break O'Day,-41.32581789908327,148.2962598858825,Entire home/apt,140,1,12,2018-02-15,7.66,3,344
21954349,Glamping in SoHo,25917548,Akia,,Hobart,-42.90029002934199,147.27803907049523,Private room,42,1,7,2018-02-11,3.56,1,361
21956216,ROCKLYN HOUSE,120796119,Michelle,,Glenorchy,-42.850989551422344,147.29259887130755,Entire home/apt,298,1,20,2018-02-14,7.59,1,355
21964072,Miena Cabin on A hill with a view,160347285,Mark,,Central Highlands,-41.99345464594233,146.70033573117533,Entire home/apt,110,1,0,,,1,365
21967255,"Exquisite, Grand Three Bedroom Family Home with BBQ",155336216,Ken,,Devonport,-41.17646634437052,146.34148692861132,Entire home/apt,174,2,10,2018-02-10,4.76,7,68
21967616,Mariner's Cottage,130839986,James,,Dorset,-41.008210414007486,147.39775277280856,Entire home/apt,186,1,1,2017-12-31,0.61,16,310
21967637,Carinya Cottage,130839986,James,,Break O'Day,-41.19025380034615,147.90404092136805,Entire home/apt,201,1,0,,,16,291
21967638,Central with Fabulous Views,130839986,James,,Dorset,-41.00471719250726,147.3915364819594,Entire home/apt,277,1,0,,,16,108
21967646,Luxurious Central Unit,130839986,James,,Dorset,-41.00230970306543,147.3931759185061,Entire home/apt,203,1,1,2018-01-27,1,16,329
21967663,Luxury Near Old Pier Beach,130839986,James,,Dorset,-40.99110023540954,147.3882339250775,Entire home/apt,315,1,0,,,16,325
21967670,One of our Finest Holiday Homes - Spoil Yourself!,130839986,James,,Dorset,-41.010634927494614,147.39112295426918,Entire home/apt,288,1,1,2018-01-09,0.75,16,330
21967678,Prime Location - Totally Refurbished,130839986,James,,Dorset,-40.99430664176886,147.38750078081713,Entire home/apt,196,1,0,,,16,255
21967689,Quaint Holiday Cottage,130839986,James,,Dorset,-40.999169169377986,147.38653222570625,Entire home/apt,193,1,0,,,16,344
